name,owner,description,html_url,readme_url
bqskit,BQSKit,Berkeley Quantum Synthesis Toolkit,https://github.com/BQSKit/bqskit,https://github.com/BQSKit/bqskit/blob/main/README.md
bqskit,BQSKit,Berkeley Quantum Synthesis Toolkit,https://github.com/BQSKit/bqskit,https://github.com/BQSKit/bqskit/blob/master/README.md
Stock-Market-Analysis,mhsmathew,Analyzing stock market trends using several different indicators in quantum finance. I explore machine learning and standard crossovers to predict future short term stock trends.,https://github.com/mhsmathew/Stock-Market-Analysis,https://github.com/mhsmathew/Stock-Market-Analysis/blob/master/README.md
QuantumClifford.jl,QuantumSavory,"Clifford circuits, graph states, and other quantum Stabilizer formalism tools.",https://github.com/QuantumSavory/QuantumClifford.jl,https://github.com/QuantumSavory/QuantumClifford.jl/blob/master/README.md
qflex,ngnrsaa,"Flexible Quantum Circuit Simulator (qFlex) implements an efficient tensor network, CPU-based simulator of large quantum circuits.",https://github.com/ngnrsaa/qflex,https://github.com/ngnrsaa/qflex/blob/master/README.md
catalyst,PennyLaneAI,A JIT compiler for hybrid quantum programs in PennyLane,https://github.com/PennyLaneAI/catalyst,https://github.com/PennyLaneAI/catalyst/blob/main/README.md
catalyst,PennyLaneAI,A JIT compiler for hybrid quantum programs in PennyLane,https://github.com/PennyLaneAI/catalyst,https://github.com/PennyLaneAI/catalyst/blob/master/README.md
Qc_book_list,poig,quantum computing book list - A book list for those who want to self-study quantum computing,https://github.com/poig/Qc_book_list,https://github.com/poig/Qc_book_list/blob/main/README.md
Qc_book_list,poig,quantum computing book list - A book list for those who want to self-study quantum computing,https://github.com/poig/Qc_book_list,https://github.com/poig/Qc_book_list/blob/master/README.md
sakurai-notes,euphoricrhino,Notes and solutions for Modern Quantum Mechanics by Sakurai & Napolitano,https://github.com/euphoricrhino/sakurai-notes,https://github.com/euphoricrhino/sakurai-notes/blob/master/README.md
thewalrus,XanaduAI,"A library for the calculation of hafnians, Hermite polynomials and Gaussian boson sampling.",https://github.com/XanaduAI/thewalrus,https://github.com/XanaduAI/thewalrus/blob/master/README.rst
qiskit-dynamics,Qiskit-Extensions,Tools for building and solving models of quantum systems in Qiskit,https://github.com/Qiskit-Extensions/qiskit-dynamics,https://github.com/Qiskit-Extensions/qiskit-dynamics/blob/main/README.md
